ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Family
28200,Maranao,mara1404,,mrw,,
28400,Botolan,boto1242,,sbl,,
28600,Sangir,sang1336,,sxn,,
28800,Siocon,west2557,,suc,,
29000,Sindangan,cent2089,,syb,,
29100,Tagabili,tbol1240,,tbl,,
29200,Tagalog,taga1270,,tgl,,
29400,Aborlan,tagb1258,,tbw,,
29500,Kalamian,cala1258,,tbk,,
29600,Tausug,taus1251,,tsg,,
29700,Yami,yami1254,,tao,,
29900,Bugis,bugi1244,,bug,,
30300,Sundanese,sund1252,,sun,,
30500,Pazeh,kulo1237,,uun,,
30700,Saisyat,sais1237,,xsy,,
30800,Taokas,babu1240,,bzg,,
31000,Paiwan,paiw1248,,pwn,,
31100,Paiwan (Makazayazaya),paiw1248,,pwn,,
31300,Puyuma,puyu1239,,pyu,,
31600,Puyuma (Rikavong),puyu1239,,pyu,,
31900,Rukai,ruka1240,,dru,,
32000,Rukai (Maga),ruka1240,,dru,,
32300,Rukai (Tona),ruka1240,,dru,,
32500,Kanakanabu,kana1286,,xnb,,
32600,Saaroa,saar1237,,sxr,,
32700,Tsou,tsou1248,,tsu,,
33000,Favorlang,babu1240,,bzg,,
33200,Thao,thao1240,,ssf,,
33500,Basque (West),,,baq,,
33900,Kuikúro-Kalapálo,kuik1246,,kui,,
33950,Cayubaba,cayu1262,,cyb,,
34400,Oro Eo,orow1243,,orw,,
34500,Oro Mon,orow1243,,orw,,
34600,Oro Nao,orow1243,,orw,,
34700,Oro Waram,orow1243,,orw,,
34800,Oro Waram Xijem,orow1243,,orw,,
34900,Oro Win,orow1243,,orw,,
34950,Wari',wari1268,,pav,,
35000,Conjubim,,,,,
35075,Chiquitano,chiq1248,,cax,,
35100,Proto-Indo-European,,,,,
35200,Proto-Albanian,,,,,
35300,Albanian (Tosk),tosk1239,,als,,
35500,Hittite,hitt1242,,hit,,
35600,Luwian,cune1239,,xlu,,
35700,Lycian,lyci1241,,xlc,,
35800,Lydian,lydi1241,,xld,,
35900,Proto-Armenian,,,,,
36000,Classical Armenian,clas1249,,xcl,,
36100,Modern Armenian,,,arm,,
36200,Proto-Balto-Slavic,,,,,
36500,Latvian,latv1249,,lav,,
36600,Lithuanian,lith1251,,lit,,
36625,Old Prussian,prus1238,,prg,,
36700,Proto-Slavic,,,,,
36900,Old Russian,oldr1238,,orv,,
37000,Russian,russ1263,,rus,,
37100,Ukrainian,ukra1253,,ukr,,
37300,Bulgarian,bulg1262,,bul,,
37400,Croatian,croa1245,,hrv,,
37500,Serbian,serb1264,,srp,,
37525,Serbo-Croatian,,,,,
37550,Slovene,slov1268,,slv,,
37700,Czech,,,cze,,
37800,Old Church Slavonic,chur1257,,chu,,
37900,Polish,poli1260,,pol,,
38000,Proto-Celtic,,,,,
38200,Breton,bret1244,,bre,,
38300,Cornish,corn1251,,cor,,
38400,Middle Breton,,,xbm,,
38600,Middle Welsh,,,wlm,,
38700,Old Breton,,,obt,,
38800,Old Cornish,,,oco,,
38900,Old Welsh,oldw1239,,owl,,
39000,Welsh,,,wel,,
39150,Celtiberian,celt1247,,xce,,
39200,Gaulish,tran1282,,xtg,,
39400,Irish,iris1253,,gle,,
39500,Manx,manx1243,,glv,,
39600,Middle Irish,,,mga,,
39700,Old Irish,oldi1245,,sga,,
39800,Scottish Gaelic,scot1245,,gla,,
39900,Proto-Germanic,,,,,
40100,Gothic,goth1244,,got,,
40300,Danish,dani1285,,dan,,
40400,Elfdalian,elfd1234,,ovd,,
40500,Faroese,faro1244,,fao,,
40600,Icelandic,,,ice,,
40700,Norwegian,norw1258,,nor,,
40800,Norwegian (Bokmål),norw1259,,nob,,
40900,Norwegian (Nynorsk),norw1262,,nno,,
40950,Old Danish,,,,,
41000,Old Norse,oldn1244,,non,,
41100,Old Swedish,,,,,
41200,Swedish,swed1254,,swe,,
41400,Dutch,dutc1256,,nld,,
41500,English,stan1293,,eng,,
41600,Frisian,west2354,,fry,,
41700,German,,,ger,,
41800,Low German,nort2627,,nds,,
41900,Middle Dutch,midd1321,,dum,,
42000,Middle English,midd1317,,enm,,
42100,Middle High German,midd1343,,gmh,,
42200,Middle Low German,midd1318,,gml,,
42300,Old Dutch,oldd1237,,odt,,
42400,Old English,olde1238,,ang,,
42500,Old Frisian,oldf1241,,ofs,,
42600,Old High German,oldh1241,,goh,,
42700,Old Saxon,olds1250,,osx,,
42800,Swiss German,swis1247,,gsw,,
42825,Yiddish,east2295,,ydd,,
43000,Classical Greek,anci1242,,grc,,
43100,Middle Greek,anci1242,,grc,,
43200,Modern Greek,,,gre,,
43400,Proto-Indo-Aryan,,,,,
43600,Prakrit,,,pra,,
43700,Pali,pali1273,,pli,,
43900,Sanskrit,sans1269,,san,,
43950,Buddhist Hybrid Sanskrit,,,,,
44100,Hindi,hind1269,,hin,,
44300,Kumauni,kuma1273,,kfy,,
44400,Marwari,marw1256,,mve,,
44500,Old Awadhi,,,,,
44600,Punjabi,panj1256,,pan,,
44900,Romani (Arli),balk1252,,rmn,,
45000,Romani (Bugurdži),,,,,
45100,Romani (Crimean),,,,,
45200,Romani (Kosovo Arli),balk1252,,rmn,,
45300,Romani (Macedonian Arli),balk1252,,rmn,,
45400,Romani (Sepečides),,,,,
45500,Romani (Sofia Erli),balk1252,,rmn,,
45600,Romani (Ursari),,,,,
45800,Romani (East Slovak),,,,,
45900,Romani (Gurvari),,,,,
46000,Romani (Hungarian Vend),,,,,
